12204,GRIB RATH
12205,NANDA DEVI E
12206,NANDA DEVI E
12207,KGM-JAT GARI
12208,JAT-KGM GARI
12209,CNB-KGM GARI
12210,KGM-CNB GARI
12211,MFP-ANVT GAR
12212,ANVT-MFP GAR
12213,DEE-YPR DURA
12214,DEE-YPR DURO
12215,DEE-BDTS GAR
12216,BDTS-DEE GAR
12217,KERALA S.KRA
12218,KERALA S.KRA
12219,LTT-SC AC DU
12220,SC-LTT AC DU
12221,PA-HWH DURAN
12222,HWH-PUNE DUR
12223,LTT-ERS DURO
12224,ERS-LTT DURO
12225,KAIFIAT EXP
12226,KAIFIAT EXP
12227,INDORE DURON
12228,MUMBAI DURON
12229,LUCKNOW MAIL
12230,LUCKNOW MAIL
12231,LKO - CDG EX
12232,CDG - LKO EX
12235,GHY-NDLS RAJ
12236,NDLS-GHY RAJ
12237,BSB-JAT EXP.
12238,JAT-BSB EXP.
12239,JAIPUR DURON
12240,JP BCT DURON
12241,CDG-ASR SUPE
12242,ASR-CDG SUPE
12243,MAS-CBE SHAT
12244,CBE-MAS  SHA
12245,HWH - YPR WE
12246,YPR - HWH WE
12247,BDTS NZM YUV
12248,NZM  BDTS  Y
12249,HWH-ANVT YUV
12250,ANVT-HWH YUV
12251,WAINGANGA EX
12252,WAINGANGA EX
12253,YPR-BGP ANGA
12254,BGP-YPR ANGA
12257,YPR-KCVL EXP
12258,KCVL-YPR EXP
12259,NDLS DURONTO
12260,SDAH DURONTO
12261,CSMT-HWH DUR
12262,HWH-CSMT DUR
12263,PUNE-NZM DUR
12264,NZM-PUNE DUR
12265,DEE-JAT DURO
12266,JAT-DEE
12267,ADI DURONTO
12268,BCT DURONTO
12269,MAS-NZM DURA
12270,NZM-MAS DURA
12273,HWH NDLS DUR
12274,HWH DURONTO
12275,ALD-NDLS-DUR
12276,NDLS-ALD-DUR
12277,HWH-PURI SHA
12278,PURI-HWH SHA
12279,TAJ EXPRESS
12280,TAJ EXPRESS
12281,BBS-NDLS DUR
12282,NDLS-BBS DUR
12283,ERS-NZM DURO
12284,NZM-ERS DURO
12285,SC-NZM DORON
12286,NZM-SC DURON
12289,CSMT-NGP DUR
12290,NGP-CSMT DUR
12291,YPR-MAS EXP
12292,MAS-YPR EXP
12293,LTT-ALD DURA
12294,ALD-LTT DURA
12295,SBC-PPTA SAN
